Flink 中只有一个作业,用到:
com.github.yck.datasource.WebLogDataGenerator
com.github.yck.datasource.DataGenerateStrategy
com.github.yck.simpletask.StatelessTask
三个类
 num     #instances         #bytes  class name
----------------------------------------------
   1:         25430        2361240  [C
   2:          6818        1361216  [Ljava.lang.Object;
   3:          8157         894056  java.lang.Class
   4:            26         852384  [Ljava.util.concurrent.ForkJoinTask;
   5:          3320         829200  [I
   6:         25414         609936  java.lang.String
   7:          1088         531184  [B
   8:         10976         351232  java.util.concurrent.ConcurrentHashMap$Node
   9:          4537         145184  java.util.HashMap$Node
  10:          2106         134784  java.nio.DirectByteBuffer
  11:          2049         114744  org.apache.flink.core.memory.MemorySegment
  12:           104         110768  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  13:          6520         104320  java.lang.Object
  14:           916          87416  [Ljava.util.HashMap$Node;
  15:          1536          86016  java.lang.invoke.MemberName
  16:          2104          84160  sun.misc.Cleaner
  17:           879          77352  java.lang.reflect.Method
  18:           129          67608  [Lorg.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry;
  19:          2100          67200  java.nio.DirectByteBuffer$Deallocator
  20:          1588          63520  java.lang.ref.SoftReference
  21:          1286          61728  java.util.HashMap
  22:          1793          60192  [S
  23:          1461          58440  java.lang.invoke.MethodType
  24:           897          57408  org.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage
  25:          1297          51880  java.util.LinkedHashMap$Entry
  26:          1999          51000  [Ljava.lang.Class;
  27:          1543          49376  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  28:            80          46080  org.apache.flink.shaded.netty4.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  29:           990          39600  com.typesafe.config.impl.SimpleConfigOrigin
  30:          1217          38944  java.lang.invoke.DirectMethodHandle
  31:           712          35168  [Ljava.lang.String;
  32:          2117          33872  java.util.concurrent.atomic.AtomicBoolean
  33:          1407          33768  java.util.ArrayList
  34:           324          25920  java.lang.reflect.Constructor
  35:          1051          25224  akka.dispatch.AbstractNodeQueue$Node
  36:          1028          24672  akka.actor.LightArrayRevolverScheduler$TaskQueue
  37:          1024          24576  org.jboss.netty.util.HashedWheelTimer$HashedWheelBucket
  38:           358          20048  java.util.LinkedHashMap
  39:           336          18816  java.lang.Package
  40:           520          16640  java.util.Hashtable$Entry
  41:           410          16400  java.math.BigInteger
  42:           270          16200  [Ljava.lang.ref.SoftReference;
  43:            40          15040  java.lang.Thread
  44:           458          14656  java.lang.invoke.BoundMethodHandle$Species_L
  45:           451          14432  java.lang.invoke.LambdaForm$Name
  46:           430          13760  java.util.RegularEnumSet
  47:           341          13640  org.apache.flink.configuration.ConfigOption
  48:           425          13600  scala.collection.immutable.HashMap$HashMap1
  49:           501          12024  scala.Tuple2
  50:           282          11280  java.lang.invoke.BoundMethodHandle$Species_LL
  51:           341          10912  sun.misc.FDBigInteger
  52:           425          10200  org.apache.flink.configuration.description.TextElement
  53:           152           9728  java.util.concurrent.ConcurrentHashMap
  54:            99           9664  [Ljava.util.Hashtable$Entry;
  55:           299           9568  com.typesafe.config.impl.SimpleConfigObject
  56:           148           9456  [J
  57:            26           8528  java.util.concurrent.ForkJoinPool$WorkQueue
  58:           152           8512  java.lang.invoke.MethodTypeForm
  59:           354           8496  com.typesafe.config.impl.ConfigString$Quoted
  60:             2           8224  [Lakka.actor.ActorRef;
  61:             2           8224  [Lakka.serialization.Serializer;
  62:             1           8216  [Lscala.math.BigInt;
  63:           114           8208  java.lang.reflect.Field
  64:           128           8192  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap
  65:           169           8112  java.lang.invoke.LambdaForm
  66:           174           7944  [Ljava.lang.invoke.LambdaForm$Name;
  67:           245           7840  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
  68:           323           7752  java.lang.Long
  69:           321           7704  scala.collection.immutable.$colon$colon
  70:           189           7560  java.io.ObjectStreamField
  71:            23           7456  [[S
  72:           152           7296  java.util.TreeMap
  73:           175           7000  org.apache.logging.log4j.core.Logger
  74:           175           7000  org.apache.logging.log4j.core.Logger$PrivateConfig
  75:           138           6624  org.apache.flink.shaded.netty4.io.netty.buffer.PoolChunkList
  76:            40           6400  org.apache.flink.shaded.netty4.io.netty.channel.epoll.EpollEventLoop
  77:            26           6064  [Z
  78:           187           5984  java.io.ObjectStreamClass$WeakClassKey
  79:           245           5880  org.apache.logging.log4j.core.config.plugins.util.PluginType
  80:            64           5792  [Ljava.util.WeakHashMap$Entry;
  81:           357           5712  java.lang.Integer
  82:           139           5560  java.util.WeakHashMap$Entry
  83:            74           5328  sun.reflect.DelegatingClassLoader
  84:           133           5320  java.lang.ref.Finalizer
  85:           332           5312  org.apache.flink.configuration.description.Description
  86:           164           5248  java.util.Vector
  87:           216           5184  com.typesafe.config.impl.ConfigString$Unquoted
  88:           127           5080  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
  89:            78           4992  java.net.URL
  90:           205           4920  java.lang.invoke.LambdaForm$NamedFunction
  91:           153           4896  java.util.concurrent.locks.ReentrantLock$NonfairSync
  92:           201           4824  javax.management.ImmutableDescriptor
  93:           301           4816  com.typesafe.config.impl.SimpleConfig
  94:            94           4512  java.lang.invoke.BoundMethodHandle$Species_L4
  95:            43           4472  java.io.ObjectStreamClass
  96:           184           4416  java.time.LocalDateTime
  97:           183           4392  sun.reflect.generics.tree.SimpleClassTypeSignature
  98:           177           4248  org.apache.logging.log4j.message.DefaultFlowMessageFactory
  99:           177           4248  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 100:            88           4224  java.util.Hashtable
 101:           175           4200  org.apache.logging.slf4j.Log4jLogger
 102:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 103:           259           4144  java.util.HashMap$Values
 104:             2           4128  [Lakka.actor.LightArrayRevolverScheduler$TaskQueue;
 105:             2           4128  [Ljava.nio.ByteBuffer;
 106:             2           4128  [Lorg.jboss.netty.util.HashedWheelTimer$HashedWheelBucket;
 107:           119           4096  [Lscala.collection.immutable.HashMap;
 108:           256           4096  java.lang.Byte
 109:           256           4096  java.lang.Short
 110:           102           4080  java.io.ObjectStreamClass$FieldReflectorKey
 111:            23           4048  [Lorg.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage;
 112:           161           3864  org.apache.flink.api.java.tuple.Tuple2
 113:            96           3840  java.util.TreeMap$Entry
 114:           117           3744  java.lang.ref.WeakReference
 115:            93           3720  java.security.ProtectionDomain
 116:           115           3680  java.lang.ThreadLocal$ThreadLocalMap$Entry
 117:           148           3552  sun.reflect.annotation.AnnotationInvocationHandler
 118:            40           3520  akka.actor.ActorCell
 119:            47           3512  [Ljava.lang.invoke.MethodHandle;
 120:           142           3408  com.typesafe.config.impl.ConfigInt
 121:            22           3344  org.apache.flink.shaded.netty4.io.netty.buffer.PoolArena$DirectArena
 122:           183           3328  [Lsun.reflect.generics.tree.TypeArgument;
 123:            63           3160  [Ljavax.management.MBeanAttributeInfo;
 124:            98           3136  java.lang.ref.ReferenceQueue
 125:             8           3072  akka.dispatch.MonitorableThreadFactory$AkkaForkJoinWorkerThread
 126:           190           3040  java.util.HashMap$KeySet
 127:            62           2976  javax.management.MBeanInfo
 128:           185           2960  java.util.HashSet
 129:            92           2944  java.security.CodeSource
 130:            92           2944  org.apache.flink.shaded.netty4.io.netty.util.internal.LongAdderCounter
 131:            31           2928  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 132:           182           2912  sun.reflect.generics.tree.ClassTypeSignature
 133:           121           2904  scala.concurrent.duration.FiniteDuration
 134:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 135:           120           2880  org.apache.flink.shaded.netty4.io.netty.channel.unix.FileDescriptor
 136:           119           2856  scala.collection.immutable.HashMap$HashTrieMap
 137:           118           2832  java.lang.Class$AnnotationData
 138:            88           2816  javax.management.MBeanAttributeInfo
 139:           176           2816  org.apache.logging.log4j.message.ReusableMessageFactory
 140:            58           2784  java.util.WeakHashMap
 141:            82           2624  java.lang.invoke.DirectMethodHandle$Special
 142:            54           2592  sun.net.www.MimeEntry
 143:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 144:            95           2528  [Ljavax.management.ObjectName$Property;
 145:           103           2472  java.time.LocalDate
 146:           101           2424  java.util.Arrays$ArrayList
 147:            39           2416  [Ljava.math.BigInteger;
 148:           147           2352  java.util.concurrent.atomic.AtomicInteger
 149:            97           2328  javax.management.ObjectName$Property
 150:            41           2296  org.apache.flink.runtime.metrics.groups.GenericMetricGroup
 151:            83           2248  [Ljava.io.ObjectStreamField;
 152:            94           2240  [Ljava.lang.reflect.Type;
 153:           138           2208  java.util.HashMap$EntrySet
 154:           137           2192  java.util.concurrent.locks.ReentrantLock
 155:            91           2184  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 156:           134           2144  java.util.TreeSet
