
 num     #instances         #bytes  class name
----------------------------------------------
   1:         27677        2641056  [C
   2:          7347        1388680  [Ljava.lang.Object;
   3:          1385         974824  [B
   4:            28         917952  [Ljava.util.concurrent.ForkJoinTask;
   5:          8296         908648  java.lang.Class
   6:          3437         845776  [I
   7:         27538         660912  java.lang.String
   8:         10944         350208  java.util.concurrent.ConcurrentHashMap$Node
   9:           513         270360  [Lorg.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry;
  10:          6279         200928  java.util.HashMap$Node
  11:          1725         151800  java.lang.reflect.Method
  12:          2106         134784  java.nio.DirectByteBuffer
  13:          2791         133968  java.util.HashMap
  14:          2053         114968  org.apache.flink.core.memory.MemorySegment
  15:          1190         113216  [Ljava.util.HashMap$Node;
  16:           104         111792  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  17:          6671         106736  java.lang.Object
  18:          1538          86128  java.lang.invoke.MemberName
  19:          2112          84480  sun.misc.Cleaner
  20:          3414          80520  [Ljava.lang.Class;
  21:          1763          70520  java.lang.ref.SoftReference
  22:          2100          67200  java.nio.DirectByteBuffer$Deallocator
  23:          1793          60192  [S
  24:          1465          58600  java.lang.invoke.MethodType
  25:           812          58464  java.lang.reflect.Field
  26:           897          57408  org.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage
  27:           692          55360  java.lang.reflect.Constructor
  28:          1337          53480  java.util.LinkedHashMap$Entry
  29:          1467          46944  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  30:            80          46080  org.apache.flink.shaded.netty4.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  31:          1054          44280  [Ljava.lang.String;
  32:           990          39600  com.typesafe.config.impl.SimpleConfigOrigin
  33:          1218          38976  java.lang.invoke.DirectMethodHandle
  34:          1510          36240  java.util.ArrayList
  35:          2141          34256  java.util.concurrent.atomic.AtomicBoolean
  36:           512          32768  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap
  37:           424          31152  [J
  38:           484          27104  java.util.LinkedHashMap
  39:           536          25728  java.util.TreeMap
  40:          1066          25584  akka.dispatch.AbstractNodeQueue$Node
  41:          1028          24672  akka.actor.LightArrayRevolverScheduler$TaskQueue
  42:          1024          24576  org.jboss.netty.util.HashedWheelTimer$HashedWheelBucket
  43:           595          23800  java.io.ObjectStreamField
  44:            58          21808  java.lang.Thread
  45:           344          19264  java.lang.Package
  46:           181          18824  java.io.ObjectStreamClass
  47:           528          16896  java.util.Hashtable$Entry
  48:           211          16832  [Ljava.util.Hashtable$Entry;
  49:           410          16400  java.math.BigInteger
  50:           270          16200  [Ljava.lang.ref.SoftReference;
  51:           650          15600  org.apache.flink.api.java.tuple.Tuple2
  52:           458          14656  java.lang.invoke.BoundMethodHandle$Species_L
  53:           451          14432  java.lang.invoke.LambdaForm$Name
  54:           430          13760  java.util.RegularEnumSet
  55:           341          13640  org.apache.flink.configuration.ConfigOption
  56:           425          13600  scala.collection.immutable.HashMap$HashMap1
  57:           182          13104  sun.reflect.DelegatingClassLoader
  58:           396          12672  java.util.Vector
  59:           501          12024  scala.Tuple2
  60:           184          11776  java.util.concurrent.ConcurrentHashMap
  61:           282          11280  java.lang.invoke.BoundMethodHandle$Species_LL
  62:           341          10912  sun.misc.FDBigInteger
  63:           425          10200  org.apache.flink.configuration.description.TextElement
  64:           200           9600  java.util.Hashtable
  65:           299           9568  com.typesafe.config.impl.SimpleConfigObject
  66:           238           9520  java.lang.ref.Finalizer
  67:            28           9184  java.util.concurrent.ForkJoinPool$WorkQueue
  68:           379           9096  java.lang.Long
  69:           275           8800  java.lang.ThreadLocal$ThreadLocalMap$Entry
  70:           213           8520  java.security.ProtectionDomain
  71:           152           8512  java.lang.invoke.MethodTypeForm
  72:           354           8496  com.typesafe.config.impl.ConfigString$Quoted
  73:           518           8288  java.util.TreeSet
  74:             2           8224  [Lakka.actor.ActorRef;
  75:             2           8224  [Lakka.serialization.Serializer;
  76:             1           8216  [Lscala.math.BigInt;
  77:           169           8112  java.lang.invoke.LambdaForm
  78:           174           7944  [Ljava.lang.invoke.LambdaForm$Name;
  79:           245           7840  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
  80:           321           7704  scala.collection.immutable.$colon$colon
  81:            23           7456  [[S
  82:           229           7328  java.util.concurrent.locks.ReentrantLock$NonfairSync
  83:           128           7168  java.lang.Class$ReflectionData
  84:           176           7040  org.apache.logging.log4j.core.Logger
  85:           176           7040  org.apache.logging.log4j.core.Logger$PrivateConfig
  86:           125           7000  org.apache.flink.runtime.metrics.groups.GenericMetricGroup
  87:           212           6784  java.security.CodeSource
  88:            76           6752  [Ljava.util.WeakHashMap$Entry;
  89:           168           6720  org.apache.flink.metrics.MeterView
  90:           417           6672  java.lang.Integer
  91:           138           6624  org.apache.flink.shaded.netty4.io.netty.buffer.PoolChunkList
  92:           205           6560  java.io.ObjectStreamClass$WeakClassKey
  93:            40           6400  org.apache.flink.shaded.netty4.io.netty.channel.epoll.EpollEventLoop
  94:           213           6264  [Ljava.io.ObjectStreamField;
  95:            34           6256  [Z
  96:           245           5880  org.apache.logging.log4j.core.config.plugins.util.PluginType
  97:           143           5720  java.util.WeakHashMap$Entry
  98:           357           5712  java.util.HashSet
  99:            86           5504  java.net.URL
 100:           332           5312  org.apache.flink.configuration.description.Description
 101:            50           5216  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 102:           216           5184  com.typesafe.config.impl.ConfigString$Unquoted
 103:           127           5080  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 104:           205           4920  java.lang.invoke.LambdaForm$NamedFunction
 105:           201           4824  javax.management.ImmutableDescriptor
 106:           301           4816  com.typesafe.config.impl.SimpleConfig
 107:            72           4808  [Ljava.lang.reflect.Method;
 108:            94           4512  java.lang.invoke.BoundMethodHandle$Species_L4
 109:           184           4416  java.time.LocalDateTime
 110:           275           4400  java.util.HashMap$Values
 111:           183           4392  sun.reflect.generics.tree.SimpleClassTypeSignature
 112:           179           4296  java.util.concurrent.CompletableFuture
 113:             8           4288  [Lorg.apache.flink.runtime.state.heap.HeapPriorityQueueElement;
 114:           178           4272  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 115:           178           4272  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 116:           106           4240  java.io.ObjectStreamClass$FieldReflectorKey
 117:             8           4224  [Ljava.util.HashMap;
 118:           176           4224  org.apache.logging.slf4j.Log4jLogger
 119:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 120:             2           4128  [Lakka.actor.LightArrayRevolverScheduler$TaskQueue;
 121:             2           4128  [Ljava.nio.ByteBuffer;
 122:             2           4128  [Lorg.jboss.netty.util.HashedWheelTimer$HashedWheelBucket;
 123:           119           4096  [Lscala.collection.immutable.HashMap;
 124:           256           4096  java.lang.Byte
 125:           256           4096  java.lang.Short
 126:            23           4048  [Lorg.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage;
 127:           163           3912  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 128:           160           3840  [Ljava.util.Map;
 129:            10           3840  akka.dispatch.MonitorableThreadFactory$AkkaForkJoinWorkerThread
 130:            96           3840  java.io.ObjectStreamClass$FieldReflector
 131:            96           3840  java.util.TreeMap$Entry
 132:           238           3808  java.util.concurrent.atomic.AtomicInteger
 133:           117           3744  java.lang.ref.WeakReference
 134:           152           3648  org.apache.flink.metrics.SimpleCounter
 135:           225           3600  java.util.HashMap$KeySet
 136:           148           3552  sun.reflect.annotation.AnnotationInvocationHandler
 137:            40           3520  akka.actor.ActorCell
 138:           110           3520  java.lang.ref.ReferenceQueue
